TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"8068627","Magic","Secret Lair Drop Series","'Tis But a Scratch! - Dismember","","1674","R","Near Mint","26.14","","26.7700","26.7700","","0","",""
"8068628","Magic","Secret Lair Drop Series","'Tis But a Scratch! - Dismember","","1674","R","Lightly Played","24.10","","25.3500","23.8500","","0","",""
"8068629","Magic","Secret Lair Drop Series","'Tis But a Scratch! - Dismember","","1674","R","Moderately Played","","","","","","0","",""
"8068630","Magic","Secret Lair Drop Series","'Tis But a Scratch! - Dismember","","1674","R","Heavily Played","","","","","","0","",""
"8068631","Magic","Secret Lair Drop Series","'Tis But a Scratch! - Dismember","","1674","R","Damaged","","","","","","0","",""
"8068632","Magic","Secret Lair Drop Series","'Tis But a Scratch! - Dismember","","1674","R","Near Mint Foil","29.14","","29.1400","27.8700","","0","",""
"8068633","Magic","Secret Lair Drop Series","'Tis But a Scratch! - Dismember","","1674","R","Lightly Played Foil","27.73","","27.5700","27.5700","","0","",""
"8068634","Magic","Secret Lair Drop Series","'Tis But a Scratch! - Dismember","","1674","R","Moderately Played Foil","","","","","","0","",""
"8068635","Magic","Secret Lair Drop Series","'Tis But a Scratch! - Dismember","","1674","R","Heavily Played Foil","","","","","","0","",""
"8068636","Magic","Secret Lair Drop Series","'Tis But a Scratch! - Dismember","","1674","R","Damaged Foil","","","","","","0","",""
"7418695","Magic","Secret Lair Drop Series","Abrade","","1425","R","Near Mint","15.85","","16.6400","15.6400","","0","",""
"7418696","Magic","Secret Lair Drop Series","Abrade","","1425","R","Lightly Played","14.28","","17.9800","17.9800","","0","",""
"7418697","Magic","Secret Lair Drop Series","Abrade","","1425","R","Moderately Played","","","22.2300","19.9900","","0","",""
"7418698","Magic","Secret Lair Drop Series","Abrade","","1425","R","Heavily Played","","","22.2300","19.9900","","0","",""
"7418699","Magic","Secret Lair Drop Series","Abrade","","1425","R","Damaged","","","","","","0","",""
"7418700","Magic","Secret Lair Drop Series","Abrade","","1425","R","Near Mint Foil","26.50","","25.9900","23.0000","","0","",""
"7418701","Magic","Secret Lair Drop Series","Abrade","","1425","R","Lightly Played Foil","","","38.9900","38.9900","","0","",""
"7418702","Magic","Secret Lair Drop Series","Abrade","","1425","R","Moderately Played Foil","","","41.2300","38.9900","","0","",""
"7418703","Magic","Secret Lair Drop Series","Abrade","","1425","R","Heavily Played Foil","","","41.2300","38.9900","","0","",""
